id,visitor_id,session_id,chat_id,assistant_message_count,chat_history_length,user_message_count,geo_country_code,created_at
dbe939f8-f1ad-4130-9b4c-5a5533b1cee8,9f1858b1-0ae2-49db-923c-e8b586b0aaf7,60909a6e-4a34-4544-b6b9-f7c7b73fa326,1,2,3,1,US,2026-02-05 07:21:13
30f5b358-3ad6-4d9e-9928-80dc54182284,720d3224-4538-4a3a-9906-823949ece4ff,82aae153-7446-46bc-819b-29abdb8a916c,1,2,3,1,US,2026-02-05 08:06:38
e86367ad-511e-4856-a505-647cd52ac4f4,9e1f4310-8280-46ee-b577-de97ead13d1a,8d1356d3-4de5-4853-b223-332705b43c7a,1,1,2,1,US,2026-02-05 17:04:08
c97634ff-f890-40cf-8760-9f674a5ab720,38c2192a-27ae-4d4d-b628-27425dced769,2d59aa24-03f6-417d-8b2a-cf64d5649f68,2,2,3,1,EG,2026-02-21 03:32:23
32eaf202-d3ce-4e86-a2fc-79bcf19bac01,38c2192a-27ae-4d4d-b628-27425dced769,2d59aa24-03f6-417d-8b2a-cf64d5649f68,2,3,5,2,EG,2026-02-21 03:33:53
d68d23d3-e644-4cf8-a5ea-9dd8c507a557,e3c85e56-b703-437d-b87b-7854953ae222,0c04950c-94e9-45ef-a914-4ed3fc30ef57,4,2,4,2,US,2026-02-21 20:14:45
b324b3de-40a3-4d67-a0a3-cc058aabf2e3,1a04235e-c380-451c-a374-620e0760a6cf,fd2e3892-2b46-4dae-854d-6b88c71bba0e,1,1,2,1,FR,2026-02-21 22:04:33
127c7f61-a8d6-4aca-b550-f69d77073070,1a04235e-c380-451c-a374-620e0760a6cf,9c0d6081-8e54-41ab-89f4-4f4210fe082a,2,1,2,1,SY,2026-02-21 22:35:21
43aaa238-de66-4260-b3d6-880c0ce4b104,1a04235e-c380-451c-a374-620e0760a6cf,9c0d6081-8e54-41ab-89f4-4f4210fe082a,2,3,6,3,SY,2026-02-21 22:36:35
af213978-2ddb-42a8-a8b6-0f169a40f72d,1a04235e-c380-451c-a374-620e0760a6cf,9c0d6081-8e54-41ab-89f4-4f4210fe082a,2,4,8,4,SY,2026-02-21 22:37:17
4b3cc1ac-eba4-4aae-a132-96c5d8cde605,86ddd7c2-7f7e-4ead-bab1-3eae3af69b75,9347f819-fc55-41fc-a460-da660a695605,2,1,2,1,FR,2026-02-18 06:47:53
4da9502e-f70e-45a4-adf3-100ff0c1e2d6,a31c9e9c-0403-4a6f-8b24-4dcd6e0f1d09,581cc417-76e8-4d9a-8066-f4be6cd2eac7,1,1,2,1,CZ,2026-02-18 17:26:52
74401584-88aa-4b7b-ad07-cd5c61bf88a2,0cf9f571-9e68-4be0-8a21-490959920d9b,be25d95c-459a-4f16-949b-b7c6072817d8,1,1,2,1,DE,2026-02-18 22:00:22
33d109a4-a4e3-4c40-a421-b7b61c3f2591,8eced236-b39f-4c44-b1c3-a41f1b110c7b,158b19d0-d65c-4962-ab59-9ba7e7f4870e,1,3,6,3,EG,2026-02-17 14:32:32
928825df-03fa-42ce-a1c3-7c42834ddee2,a346a318-0082-4b40-a576-defc7afde86d,58f237ac-1f1d-451d-a2ce-1b237b26c10f,3,3,6,3,EG,2026-02-17 16:56:39
